lap,name,position,total_time,gap,tyre,fuel,dnf,pit_stops
1,Verstappen,1,110.437,110.437,95,96,False,0
1,Tsunoda,17,111.774,111.774,97,96,False,0
1,Leclerc,12,110.801,110.801,96,97,False,0
1,Hamilton,2,0,0,95,97,False,0
1,Norris,3,0,0,94,97,False,0
1,Piastri,4,0,0,94,98,False,0
1,Russell,5,0,0,94,98,False,0
1,Antonelli,14,111.555,111.555,96,97,False,0
1,Alonso,6,0,0,97,99,False,0
1,Stroll,7,0,0,98,98,False,0
1,Gasly,8,0,0,94,97,False,0
1,Colapinto,19,111.88,111.88,97,97,False,0
1,Ocon,9,0,0,95,97,False,0
1,Bearman,18,111.754,111.754,94,98,False,0
1,Hadjar,15,111.643,111.643,95,96,False,0
1,Lawson,16,111.678,111.678,97,97,False,0
1,Albon,10,0,0,95,98,False,0
1,Sainz,13,111.216,111.216,97,96,False,0
1,Hulkenberg,11,0,0,96,99,False,0
1,Bortoleto,20,112.021,112.021,97,96,False,0
2,Verstappen,1,221.191,221.191,89,93,False,0
2,Tsunoda,15,223.854,223.854,90,94,False,0
2,Leclerc,12,222.029,222.029,89,94,False,0
2,Hamilton,2,0,0,91,95,False,0
2,Norris,3,0,0,88,94,False,0
2,Piastri,4,0,0,89,96,False,0
2,Russell,5,0,0,90,96,False,0
2,Antonelli,14,223.411,223.411,89,95,False,0
2,Alonso,6,0,0,94,97,False,0
2,Stroll,7,0,0,93,97,False,0
2,Gasly,8,0,0,92,94,False,0
2,Colapinto,18,224.123,224.123,92,93,False,0
2,Ocon,9,0,0,92,95,False,0
2,Bearman,19,223.858,223.858,91,95,False,0
2,Hadjar,17,223.81,223.81,88,92,False,0
2,Lawson,16,223.569,223.569,94,95,False,0
2,Albon,10,0,0,92,95,False,0
2,Sainz,13,222.647,222.647,93,93,False,0
2,Hulkenberg,11,0,0,92,98,False,0
2,Bortoleto,20,224.144,224.144,92,94,False,0
3,Verstappen,1,332.231,332.231,83,90,False,0
3,Tsunoda,17,336.106,336.106,85,90,False,0
3,Leclerc,12,333.428,333.428,86,92,False,0
3,Hamilton,2,0,0,88,92,False,0
3,Norris,3,0,0,82,91,False,0
3,Piastri,4,0,0,84,93,False,0
3,Russell,5,0,0,87,94,False,0
3,Antonelli,14,335.627,335.627,84,92,False,0
3,Alonso,6,0,0,91,96,False,0
3,Stroll,7,0,0,89,96,False,0
3,Gasly,8,0,0,89,91,False,0
3,Colapinto,19,336.526,336.526,89,91,False,0
3,Ocon,9,0,0,88,93,False,0
3,Bearman,18,336.163,336.163,87,93,False,0
3,Hadjar,16,336.017,336.017,84,90,False,0
3,Lawson,15,335.762,335.762,87,93,False,0
3,Albon,10,0,0,86,93,False,0
3,Sainz,13,334.106,334.106,90,91,False,0
3,Hulkenberg,11,0,0,87,96,False,0
3,Bortoleto,20,336.556,336.556,88,92,False,0
4,Verstappen,1,443.599,443.599,80,87,False,0
4,Tsunoda,17,448.757,448.757,78,88,False,0
4,Leclerc,12,445.16,445.16,81,88,False,0
4,Hamilton,2,0,0,85,89,False,0
4,Norris,3,0,0,76,89,False,0
4,Piastri,4,0,0,82,90,False,0
4,Russell,5,0,0,84,91,False,0
4,Antonelli,14,448.012,448.012,79,88,False,0
4,Alonso,6,0,0,86,94,False,0
4,Stroll,7,0,0,85,95,False,0
4,Gasly,8,0,0,85,89,False,0
4,Colapinto,20,449.156,449.156,84,88,False,0
4,Ocon,9,0,0,85,90,False,0
4,Bearman,18,448.751,448.751,81,89,False,0
